,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
1,P6,"1. Mary placed four slices of the same type of bread in four set-ups at room
temperature. In which set-up would fungus first appear on the slice of bread?",,(4)- ,"(2) nan
substance that ,
absorbs moisture oo. .
“poo: /  asiica of water a slice of
= CF : bread a CF bread",,,SCIENCE,2018,tao_nan_exam_papers,SA2,1,Yes,TempImages/2.jpg;TempImages/1.jpg;TempImages/4.jpg;TempImages/5.jpg;TempImages/3.jpg;TempImages/8.jpg;TempImages/7.jpg;TempImages/6.jpg;TempImages/12.jpg;TempImages/11.jpg
2,P6,,,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,2,Yes,TempImages/10.jpg
3,P6,Male reproductive cells are-produced in the male reproductive parts.,,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,3,No,
4,P6,B The tertiised egg. develops in the ovary.,,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,4,No,
5,P6,Fertiisation occurs in the ovary.,,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,5,No,
6,P6,"Which of the following is correct?4. Haoming sete up an experiment as shown below ‘te-find out. if the- absence. of
reols affects the amount of water. abserbed",,"(2) A AB,
”() ans ee ee BC
wy ~ “AG”, AB",,,,SCIENCE,2018,tao_nan_exam_papers,SA2,6,Yes,;TempImages/9.jpg
7,P6,"Which. of the following should Haoming use as the control set-up for his
experiment?5. The diagram below shows .the-movement of blood in pathways, A, B, C and. D,-of
the human circulatory-system:Which of the following correctly shows the pathways where biood Is rich in oxygen
or carbon dioxide?6, Cells X shown below has been.taken from 4 plant.",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,7,Yes,TempImages/15.jpg;TempImages/14.jpg;TempImages/13.jpg;TempImages/17.jpg;TempImages/16.jpg
8,P6,Which of the following is true about cell X?,,"(1) Part A gives ceil X its regular shape.

","(2).Part‘C contains genetic information for cell X.

","(3) Pait D controls all the activities that take place in cell X.
",(4).Part 8 controls the substances entering and leaving cell X.,SCIENCE,2018,tao_nan_exam_papers,SA2,8,Yes,TempImages/18.jpg
9,P6,"> brown fur os
Fos, a i Han __ brown winter coat
Xe oan \ Ligh ~~ made using fur
Vim ' ee | ‘MLS, from Animal Q
é f Aa TING,
AnimalQ- to -",,"(1) The fur helps the wearer to blend in with.white wails.

-","(2) The fur is dark coloured so it gains Jess, heat from the sun.

","(3) The fur traps air so the wearer will lose fess heat fo the surroundings -
",(4) The fur helps the wearer gain more heat from the cold air to keep warm.,SCIENCE,2018,tao_nan_exam_papers,SA2,9,Yes,;TempImages/20.jpg;TempImages/19.jpg
10,P6,"the amount of undigested food at the five parts was plotted in the graph shown
below.Which line in the graph beiow represents the amount of undigested food in the
five parts, A, B, C, D and E?11. -Study the food web below",,"(9) NA eee OT

: . mS : oi

. ~ “MA : i.

i cn mek, “a ae ‘ i ©

Po OD

' . ‘ 3 ~ - m, }

: : | NOt “ereresnecerenseee ","(3)

: i t en

i z : i . ","(4)

, ee Ee ee a ee >",,SCIENCE,2018,tao_nan_exam_papers,SA2,10,Yes,TempImages/23.jpg;TempImages/22.jpg;TempImages/21.jpg
11,P6,"Organism X, which only feeds on U, was introduced into the habitat...-Which of the following graphs. shows how the. populations of R and U are most
likely to be affected?(<) Number of12. The diagram shows plant M which.can only. grow on tree Dranches. Bird P feeds
on the fruits of plant M which have sticky seeds. When bird P files away, it rubs
: its beak with the.sticky seeds against the branch of another free.
ye TGs Ey: ey Pee.
: oy es EEE a awe ie
BAN Le ANCE oe Saal Ast am
Ae a ye moe
ad KS gy gene ~~ Plant Mwith leaves and fruits
‘ Pi cece ""bird P
no) RB
| gh
es . os ",,(1); Number of,"(3) Number of
owentame ","(4) Numberor
organisms.
a veo U [
| ree —
we ere RR _
mee y",,SCIENCE,2018,tao_nan_exam_papers,SA2,11,Yes,TempImages/27.jpg;TempImages/26.jpg;TempImages/25.jpg;TempImages/24.jpg
12,P6,"(1) Fruit of piant M are dispersed by wind

(2) Plant M grows on tree branches so that it can avoid birds

(3) Plant M gets its food and water from the branches of the tree;

(4) Bird P helps to disperse the seeds of plant M from one tree to another tree.",,"(1) Fruit of piant M are dispersed by wind

","(2) Plant M grows on tree branches so that it can avoid birds

","(3) Plant M gets its food and water from the branches of the tree;

",(4) Bird P helps to disperse the seeds of plant M from one tree to another tree.,SCIENCE,2018,tao_nan_exam_papers,SA2,12,Yes,;TempImages/28.jpg
13,P6,"Which of the following is/are the possibie-aim(s) of his experiment when he
planted the grape plants on the two plots of land?A ‘To find out if water is needed for the plant growth.
B To find out how the amount of water helps in plant growth.
C To find out if the soi in- plot X has more nutrients than the soil in plot Y.",,(1) B only ,"(2) Band C only
","(3) AandC only (4yA, Bandc",,SCIENCE,2018,tao_nan_exam_papers,SA2,13,Yes,;TempImages/29.jpg
14,P6,"The water in all the containers have the same amount of oxygen at the start of
the experiment. After 5 hours, she recorded the amount of dissolved oxygen in
the water in container Y._ Which of the following would be the correct amount of dissolved oxygen in the
water in containers X and 7 after.5 hours?15. A solid metal cuba oF SU cm? was put into a measuring cylinder containing
450 cm? of water. The water level rose as shown. :",,,,,,SCIENCE,2018,tao_nan_exam_papers,SA2,14,Yes,TempImages/32.jpg;TempImages/31.jpg;TempImages/30.jpg
15,P6,What can we conciude from the above experiment?,,"(1) A solid has a definite volume and a definite shape.
","(2) Asolid has a-definite volume but no definite shape.

","(3) A solid has no definite volume and no definite shape.
",(4). Asolid has no definite volume but has a definite shape.,SCIENCE,2018,tao_nan_exam_papers,SA2,15,Yes,TempImages/34.jpg;TempImages/33.jpg
16,P6,"{1) inflating a balloon - (2) knocking on a cooree KE
| WE",,{1) inflating a balloon - ,(2) knocking on a coor,"(2): Decrease | _. Increase
","(3) Increase | Increase
(ay 7 Increase | 1 Decrease 1",SCIENCE,2018,tao_nan_exam_papers,SA2,16,Yes,;TempImages/36.jpg;TempImages/35.jpg
